2025-08-12 00:47:57,712 - INFO - 🔍 Scanning directory: C:\Downloads\Project_Alpha\data

2025-08-12 00:47:57,714 - INFO - 📄 Processing file: begin_inventory.csv
2025-08-12 00:47:57,716 - INFO - 📥 Starting ingestion: C:\Downloads\Project_Alpha\data\begin_inventory.csv
2025-08-12 00:48:11,116 - INFO - ✅ Chunk 1 into 'purchases' → Rows: 10000, Mem: 139.98 MB
2025-08-12 00:48:11,253 - INFO - ✅ Chunk 2 into 'purchases' → Rows: 10000, Mem: 140.14 MB
2025-08-12 00:48:11,395 - INFO - ✅ Chunk 3 into 'purchases' → Rows: 10000, Mem: 140.26 MB
2025-08-12 00:48:11,531 - INFO - ✅ Chunk 4 into 'purchases' → Rows: 10000, Mem: 140.35 MB
2025-08-12 00:48:11,675 - INFO - ✅ Chunk 5 into 'purchases' → Rows: 10000, Mem: 140.35 MB
2025-08-12 00:48:11,867 - INFO - ✅ Chunk 6 into 'purchases' → Rows: 10000, Mem: 140.4 MB
2025-08-12 00:48:12,009 - INFO - ✅ Chunk 7 into 'purchases' → Rows: 10000, Mem: 140.35 MB
2025-08-12 00:48:12,167 - INFO - ✅ Chunk 8 into 'purchases' → Rows: 10000, Mem: 140.43 MB
2025-08-12 00:48:12,306 - INFO - ✅ Chunk 9 into 'purchases' → Rows: 10000, Mem: 140.66 MB
2025-08-12 00:48:12,448 - INFO - ✅ Chunk 10 into 'purchases' → Rows: 10000, Mem: 140.54 MB
2025-08-12 00:48:12,589 - INFO - ✅ Chunk 11 into 'purchases' → Rows: 10000, Mem: 140.51 MB
2025-08-12 00:48:12,739 - INFO - ✅ Chunk 12 into 'purchases' → Rows: 10000, Mem: 140.78 MB
2025-08-12 00:48:12,882 - INFO - ✅ Chunk 13 into 'purchases' → Rows: 10000, Mem: 141.71 MB
2025-08-12 00:48:13,023 - INFO - ✅ Chunk 14 into 'purchases' → Rows: 10000, Mem: 141.52 MB
2025-08-12 00:48:13,216 - INFO - ✅ Chunk 15 into 'purchases' → Rows: 10000, Mem: 141.88 MB
2025-08-12 00:48:13,351 - INFO - ✅ Chunk 16 into 'purchases' → Rows: 10000, Mem: 141.59 MB
2025-08-12 00:48:13,492 - INFO - ✅ Chunk 17 into 'purchases' → Rows: 10000, Mem: 141.8 MB
2025-08-12 00:48:13,638 - INFO - ✅ Chunk 18 into 'purchases' → Rows: 10000, Mem: 141.8 MB
2025-08-12 00:48:13,786 - INFO - ✅ Chunk 19 into 'purchases' → Rows: 10000, Mem: 141.34 MB
2025-08-12 00:48:13,932 - INFO - ✅ Chunk 20 into 'purchases' → Rows: 10000, Mem: 141.8 MB
2025-08-12 00:48:14,075 - INFO - ✅ Chunk 21 into 'purchases' → Rows: 10000, Mem: 141.79 MB
2025-08-12 00:48:14,212 - INFO - ✅ Chunk 22 into 'purchases' → Rows: 10000, Mem: 141.75 MB
2025-08-12 00:48:14,350 - INFO - ✅ Chunk 23 into 'purchases' → Rows: 10000, Mem: 141.97 MB
2025-08-12 00:48:14,565 - INFO - ✅ Chunk 24 into 'purchases' → Rows: 10000, Mem: 141.84 MB
2025-08-12 00:48:14,710 - INFO - ✅ Chunk 25 into 'purchases' → Rows: 10000, Mem: 141.82 MB
2025-08-12 00:48:14,853 - INFO - ✅ Chunk 26 into 'purchases' → Rows: 10000, Mem: 141.52 MB
2025-08-12 00:48:14,997 - INFO - ✅ Chunk 27 into 'purchases' → Rows: 10000, Mem: 141.77 MB
2025-08-12 00:48:15,137 - INFO - ✅ Chunk 28 into 'purchases' → Rows: 10000, Mem: 141.81 MB
2025-08-12 00:48:15,276 - INFO - ✅ Chunk 29 into 'purchases' → Rows: 10000, Mem: 141.96 MB
2025-08-12 00:48:15,416 - INFO - ✅ Chunk 30 into 'purchases' → Rows: 10000, Mem: 141.92 MB
2025-08-12 00:48:15,560 - INFO - ✅ Chunk 31 into 'purchases' → Rows: 10000, Mem: 142.0 MB
2025-08-12 00:48:15,711 - INFO - ✅ Chunk 32 into 'purchases' → Rows: 10000, Mem: 141.57 MB
2025-08-12 00:48:15,857 - INFO - ✅ Chunk 33 into 'purchases' → Rows: 10000, Mem: 142.0 MB
2025-08-12 00:48:16,067 - INFO - ✅ Chunk 34 into 'purchases' → Rows: 10000, Mem: 142.2 MB
2025-08-12 00:48:16,206 - INFO - ✅ Chunk 35 into 'purchases' → Rows: 10000, Mem: 143.04 MB
2025-08-12 00:48:16,348 - INFO - ✅ Chunk 36 into 'purchases' → Rows: 10000, Mem: 142.76 MB
2025-08-12 00:48:16,489 - INFO - ✅ Chunk 37 into 'purchases' → Rows: 10000, Mem: 142.64 MB
2025-08-12 00:48:16,633 - INFO - ✅ Chunk 38 into 'purchases' → Rows: 10000, Mem: 143.11 MB
2025-08-12 00:48:16,782 - INFO - ✅ Chunk 39 into 'purchases' → Rows: 10000, Mem: 143.09 MB
2025-08-12 00:48:16,928 - INFO - ✅ Chunk 40 into 'purchases' → Rows: 10000, Mem: 143.13 MB
2025-08-12 00:48:17,076 - INFO - ✅ Chunk 41 into 'purchases' → Rows: 10000, Mem: 143.12 MB
